date,dow,month,dayofyear,temp_c,is_holiday,is_summer_break,y_kwh,is_weekend,weekofyear
2025-02-01,5,2,32,5.916530264096295,0,0,613.5,1,5
2025-02-02,6,2,33,3.1003102966143805,0,0,567.1,1,5
2025-02-03,0,2,34,6.556381370524152,0,0,621.7,0,6
2025-02-04,1,2,35,,0,0,645.9,0,6
2025-02-05,2,2,36,0.9100108498080952,0,0,683.8,0,6
2025-02-06,3,2,37,2.0891960170904476,0,0,658.0,0,6
2025-02-07,4,2,38,4.83287173546475,0,0,680.1,0,6
2025-02-08,5,2,39,3.8305381713836963,0,0,602.1,1,6
2025-02-09,6,2,40,4.317483780650198,0,0,599.6,1,6
2025-02-10,0,2,41,2.535324416783012,0,0,667.7,0,7
2025-02-11,1,2,42,5.892830288859637,0,0,698.8,0,7
2025-02-12,2,2,43,5.584567942985954,0,0,636.0,0,7
2025-02-13,3,2,44,4.05835395209894,0,0,596.1,0,7
2025-02-14,4,2,45,6.080472595686876,0,0,678.0,0,7
2025-02-15,5,2,46,4.663125312041594,0,0,562.4,1,7
2025-02-16,6,2,47,1.9140859338886023,0,0,585.0,1,7
2025-02-17,0,2,48,4.277212687247658,0,0,675.1,0,8
2025-02-18,1,2,49,1.531489712445069,0,0,815.2,0,8
2025-02-19,2,2,50,5.118229614777196,0,0,606.3,0,8
2025-02-20,3,2,51,3.176107609977881,0,0,603.9,0,8
2025-02-21,4,2,52,2.8234467086080026,0,0,624.5,0,8
2025-02-22,5,2,53,1.7511304328992026,0,0,589.3,1,8
2025-02-23,6,2,54,5.480520094442485,0,0,578.2,1,8
2025-02-24,0,2,55,2.651479106638385,0,0,649.1,0,9
2025-02-25,1,2,56,2.0316580023471547,0,0,608.1,0,9
2025-02-26,2,2,57,2.114518416179177,0,0,584.4,0,9
2025-02-27,3,2,58,3.816592627821609,0,0,636.2,0,9
2025-02-28,4,2,59,3.418787764606211,0,0,623.4,0,9
2025-03-01,5,3,60,3.4520458385482056,0,0,577.8,1,9
2025-03-02,6,3,61,3.4296773464498997,0,0,583.0,1,9
2025-03-03,0,3,62,6.79557633734145,0,0,623.1,0,10
2025-03-04,1,3,63,1.6465044666523823,0,0,656.2,0,10
2025-03-05,2,3,64,1.384725641515794,0,0,642.7,0,10
2025-03-06,3,3,65,0.7343803121369374,0,0,651.4,0,10
2025-03-07,4,3,66,3.5494513439842734,0,0,609.1,0,10
2025-03-08,5,3,67,4.533869024221816,0,0,551.0,1,10
2025-03-09,6,3,68,2.009338973820928,0,0,567.4,1,10
2025-03-10,0,3,69,0.5211193451162801,0,0,654.4,0,11
2025-03-11,1,3,70,0.5195678313960226,0,0,622.7,0,11
2025-03-12,2,3,71,3.439723092233452,0,0,633.8,0,11
2025-03-13,3,3,72,3.5979712782010003,0,0,612.2,0,11
2025-03-14,4,3,73,3.173623068823134,0,0,616.1,0,11
2025-03-15,5,3,74,0.735080037163675,0,0,580.2,1,11
2025-03-16,6,3,75,2.5121466183961445,0,0,502.7,1,11
2025-03-17,0,3,76,2.2658651200675273,0,0,585.6,0,12
2025-03-18,1,3,77,2.457489770302041,0,0,578.9,0,12
2025-03-19,2,3,78,3.753542417047803,0,0,551.6,0,12
2025-03-20,3,3,79,2.451404242070407,0,0,596.1,0,12
2025-03-21,4,3,80,3.3585264681817337,0,0,627.1,0,12
2025-03-22,5,3,81,2.135302632470596,0,0,538.8,1,12
2025-03-23,6,3,82,2.580787560454234,0,0,548.1,1,12
2025-03-24,0,3,83,3.2704878909973285,0,0,631.4,0,13
2025-03-25,1,3,84,-0.8980807043827519,0,0,650.3,0,13
2025-03-26,2,3,85,1.3881623565119467,0,0,605.9,0,13
2025-03-27,3,3,86,1.100984356313814,0,0,831.8,0,13
2025-03-28,4,3,87,0.7811456564908981,0,0,608.9,0,13
2025-03-29,5,3,88,1.5287302696289427,0,0,517.1,1,13
2025-03-30,6,3,89,5.091946592798075,0,0,510.8,1,13
2025-03-31,0,3,90,0.3963798957034279,0,0,566.0,0,14
2025-04-01,1,4,91,4.093498264192632,0,0,566.6,0,14
2025-04-02,2,4,92,-1.1769858409487286,0,0,596.1,0,14
2025-04-03,3,4,93,1.5536990952118095,0,0,614.2,0,14
2025-04-04,4,4,94,2.5865837710600865,0,0,632.0,0,14
2025-04-05,5,4,95,3.4740126930456157,0,0,487.4,1,14
2025-04-06,6,4,96,3.7673815014423466,0,0,529.4,1,14
2025-04-07,0,4,97,3.977840214824873,0,0,553.3,0,15
2025-04-08,1,4,98,1.7427564170623593,0,0,597.0,0,15
2025-04-09,2,4,99,1.5673926900450337,0,0,580.7,0,15
2025-04-10,3,4,100,4.262751293382989,0,0,527.5,0,15
2025-04-11,4,4,101,2.221691490706149,0,0,671.3,0,15
2025-04-12,5,4,102,0.1132084421449453,0,0,506.2,1,15
2025-04-13,6,4,103,0.46105010981350114,0,0,505.4,1,15
2025-04-14,0,4,104,0.9545072598943494,0,0,550.7,0,16
2025-04-15,1,4,105,3.8562449916409127,0,0,549.8,0,16
2025-04-16,2,4,106,3.2179907511631454,0,0,577.2,0,16
2025-04-17,3,4,107,4.388008792605283,0,0,556.3,0,16
2025-04-18,4,4,108,2.229092759358058,0,0,574.5,0,16
2025-04-19,5,4,109,3.4798759085334527,0,0,509.7,1,16
2025-04-20,6,4,110,4.4957908593483715,0,0,529.2,1,16
2025-04-21,0,4,111,2.7103213977474416,0,0,551.0,0,17
2025-04-22,1,4,112,4.329535242195906,0,0,515.7,0,17
2025-04-23,2,4,113,2.181643323051892,0,0,584.5,0,17
2025-04-24,3,4,114,2.8714116107913865,0,0,545.6,0,17
2025-04-25,4,4,115,,0,0,579.8,0,17
2025-04-26,5,4,116,1.3973195306930282,0,0,505.4,1,17
2025-04-27,6,4,117,4.8623425407855425,0,0,481.2,1,17
2025-04-28,0,4,118,3.0513920098116474,0,0,555.1,0,18
2025-04-29,1,4,119,4.119354268339893,0,0,590.1,0,18
2025-04-30,2,4,120,5.16236809364464,0,0,588.3,0,18
2025-05-01,3,5,121,5.202753759470707,1,0,472.2,0,18
2025-05-02,4,5,122,5.751553942972102,0,0,535.2,0,18
2025-05-03,5,5,123,4.337147885657023,0,0,503.8,1,18
2025-05-04,6,5,124,3.80306663458228,0,0,455.7,1,18
2025-05-05,0,5,125,4.607946323749814,0,0,538.0,0,19
2025-05-06,1,5,126,1.512573612345788,0,0,536.9,0,19
2025-05-07,2,5,127,2.114982049498263,0,0,541.9,0,19
2025-05-08,3,5,128,2.487840971839642,0,0,510.4,0,19
2025-05-09,4,5,129,3.2648117282508755,0,0,487.5,0,19
2025-05-10,5,5,130,6.186913703790487,0,0,409.7,1,19
2025-05-11,6,5,131,3.7064237915227567,0,0,438.8,1,19
2025-05-12,0,5,132,4.8929917570537835,0,0,505.9,0,20
2025-05-13,1,5,133,8.381587692906653,0,0,498.0,0,20
2025-05-14,2,5,134,5.2062570589417305,0,0,561.7,0,20
2025-05-15,3,5,135,7.531269571084342,0,0,532.4,0,20
2025-05-16,4,5,136,4.328215361889265,0,0,488.7,0,20
2025-05-17,5,5,137,5.925505553450215,0,0,461.1,1,20
2025-05-18,6,5,138,4.578942462719629,0,0,444.4,1,20
2025-05-19,0,5,139,5.945160080792734,0,0,496.2,0,21
2025-05-20,1,5,140,8.449673241423465,0,0,499.1,0,21
2025-05-21,2,5,141,3.461794774240181,0,0,523.1,0,21
2025-05-22,3,5,142,7.934165870319341,0,0,484.6,0,21
2025-05-23,4,5,143,7.691133002117544,0,0,518.9,0,21
